id,name,cpu,ram,gpu,battery,volume,weight,display,maker,sw_os,price,image,content
34,삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,mx450,69.7,512,1.57,15.6,삼성전자,윈도우10,2576000,삼성전자imgs33.jpg,삼성전자imgsdt33.jpg
35,삼성전자 노트북 플러스 NT550XCR-AD3A WIN10,인텔_코어i3-10세대_i3-10110U (2.1GHz),4,내장그래픽,43,256,1.81,15.6,삼성전자,윈도우10,828720,삼성전자imgs34.jpg,삼성전자imgsdt34.jpg
36,삼성전자 갤럭시북 이온2 NT950XDA-X71AW,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,mx450,69.7,512,1.26,15.6,삼성전자,윈도우10,2249000,삼성전자imgs35.jpg,삼성전자imgsdt35.jpg
37,삼성전자 갤럭시북 이온2 NT950XDZ-A58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,내장그래픽,69.7,256,1.19,15.6,삼성전자,미포함(프리도스),1548000,삼성전자imgs36.jpg,삼성전자imgsdt36.jpg
38,삼성전자 갤럭시북S NT767XCL-KLTE,인텔_코어i5-10세대_i5-L16G7 (1.4GHz),8,내장그래픽,42,512,950,13.3,삼성전자,윈도우10,1349000,삼성전자imgs37.jpg,삼성전자imgsdt37.jpg
39,삼성전자 노트북 플러스2 NT550XDZ-AD5AW WIN10 16GB램,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),16,내장그래픽,43,256,1.81,15.6,삼성전자,윈도우10,1176990,삼성전자imgs38.jpg,삼성전자imgsdt38.jpg
40,삼성전자 노트북 플러스2 NT560XDZ-G78A,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),8,GTX1650 TiMAX-Q,43,256,1.85,15.6,삼성전자,미포함(프리도스),1599000,삼성전자imgs39.jpg,삼성전자imgsdt39.jpg
41,삼성전자 갤럭시북 이온2 NT950XDZ-G58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.26,15.6,삼성전자,미포함(프리도스),1778000,삼성전자imgs40.jpg,삼성전자imgsdt40.jpg
42,삼성전자 노트북 플러스2 NT550XDZ-AD1AW,인텔_셀러론_6305 (1.8GHz),4,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),444280,삼성전자imgs41.jpg,삼성전자imgsdt41.jpg
43,삼성전자 노트북 플러스2 NT560XDA-XC58,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,GTX1650 TiMAX-Q,43,256,1.85,15.6,삼성전자,윈도우10,1430390,삼성전자imgs42.jpg,삼성전자imgsdt42.jpg
44,삼성전자 갤럭시북 이온2 NT930XDZ-A38AW,인텔_코어i3-11세대_i3-1115G4 (3.0GHz),8,내장그래픽,69.7,256,970,13.3,삼성전자,미포함(프리도스),1198000,삼성전자imgs43.jpg,삼성전자imgsdt43.jpg
45,삼성전자 갤럭시북 플렉스2 NT930QDZ-A58AZ,인텔_코어i5-11세대_i5-1130G7 (1.8GHz),8,내장그래픽,69.7,256,1.16,13.3,삼성전자,미포함(프리도스),1748000,삼성전자imgs44.jpg,삼성전자imgsdt44.jpg
46,삼성전자 노트북 플러스 NT550XCR-AD3A,인텔_코어i3-10세대_i3-10110U (2.1GHz),4,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),661820,삼성전자imgs45.jpg,삼성전자imgsdt45.jpg
47,삼성전자 노트북 플러스2 NT560XDZ-G78A WIN10 16GB램,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,GTX1650 TiMAX-Q,43,500,1.85,15.6,삼성전자,윈도우10,1640000,삼성전자imgs46.jpg,삼성전자imgsdt46.jpg
48,삼성전자 갤럭시북 플렉스2 NT950QDA-XC71Z,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,mx450,69.7,512,1.57,15.6,삼성전자,윈도우10,2449440,삼성전자imgs47.jpg,삼성전자imgsdt47.jpg
49,삼성전자 노트북 플러스2 NT550XDA-K78AW 16GB램,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,내장그래픽,43,256,1.81,15.6,삼성전자,윈도우10,1379000,삼성전자imgs48.jpg,삼성전자imgsdt48.jpg
50,삼성전자 갤럭시북 이온2 NT950XDA-XC58W,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.26,15.6,삼성전자,윈도우10,1804790,삼성전자imgs49.jpg,삼성전자imgsdt49.jpg
51,삼성전자 갤럭시북 플렉스2 NT950QDZ-G58AZ,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.57,15.6,삼성전자,미포함(프리도스),2049000,삼성전자imgs50.jpg,삼성전자imgsdt50.jpg
52,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-KF58,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,윈도우10,1577960,삼성전자imgs51.jpg,삼성전자imgsdt51.jpg
53,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,미포함(프리도스),1699190,삼성전자imgs52.jpg,삼성전자imgsdt52.jpg
54,삼성전자 갤럭시북 플렉스2 5G NT930QCA-KC71S,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,내장그래픽,69.7,512,1.26,13.3,삼성전자,윈도우10,2679000,삼성전자imgs53.jpg,삼성전자imgsdt53.jpg
55,삼성전자 2019 노트북9 Always NT930XBE-K717A,인텔_코어i7-8세대_i7-8565U (1.8GHz),16,내장그래픽,75,256,995,13.3,삼성전자,윈도우10,1804040,삼성전자imgs54.jpg,삼성전자imgsdt54.jpg
56,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-K78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,윈도우10,1833590,삼성전자imgs55.jpg,삼성전자imgsdt55.jpg
57,삼성전자 갤럭시북 이온 NT930XCR-A38A,인텔_코어i3-10세대_i3-10110U (2.1GHz),8,내장그래픽,69.7,256,970,13.3,삼성전자,미포함(프리도스),1022390,삼성전자imgs56.jpg,삼성전자imgsdt56.jpg
58,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A38A,인텔_코어i3-10세대_i3-10110U (2.1GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,미포함(프리도스),1389800,삼성전자imgs57.jpg,삼성전자imgsdt57.jpg
59,삼성전자 갤럭시북S NT767XCM-K58S,인텔_코어i5-10세대_i5-L16G7 (1.4GHz),8,내장그래픽,42,256,950,13.3,삼성전자,윈도우10,1148000,삼성전자imgs58.jpg,삼성전자imgsdt58.jpg
60,삼성전자 오디세이 NT850XCJ-XC716,인텔_코어i7-10세대_i7-10750H (2.6GHz),16,RTX2070SUPERMAX-Q,54,512,2.39,15.6,삼성전자,윈도우10,2917990,삼성전자imgs59.jpg,삼성전자imgsdt59.jpg
61,삼성전자 노트북 NT350XCR-AD5WA,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),798000,삼성전자imgs60.jpg,삼성전자imgsdt60.jpg
